productID,Description,
3012,High quality-all products are covered by soft fabric to make it a gentle touch on hair and skin; size adjustable pattern for customized look; pieces are ideal to add a dash of sophistication and charm to your regular or evening wear,
3013,Contemporary airtight seal to lock in more moisture than ever before for thicker moisture-rich wipes; can be used on most hard non-porous surfaces; Easy to carry for use in commute office and public spaces,
4001,Reduces the risk of chronic diseases; Helps to keep heart healthy; Low Absorbing: Keeps your food light; Low in Bad Fat: Canola oil has lowest saturated fat than any commonly used cooking oil,
4002,Medium sized; without polish dal having very pleasing moderate aroma and great taste; Dals are sorted to deliver consistent quality of grains through the year; Hygienically packed which is free from impurities such as weevils and stones,
4003,Fresh delivery of fruits and vegetables; contain high content of fiber and vitamins in them; Can be used in multiple dishes and snacks; Store in a cool dry place away from sunlight,
4004,Ensures 100% pure and natural whole wheat atta and retention of its natural dietary fibres and nutrients; helps in easy digestion and supporting immunity; The dietary fibres and natural nutrients help in easy digestion and supporting immunity which are essential for your family’s daily intake,
4005,Healthy Nuts Mix High in proteins and anti oxidants; slows the ageing process and keeps diseases away; Improves digestion immunity mental health; Store In Cool And Dry Place,
4006,Ultimate taste and sweet earthy aroma enhance the rice-eating experience; Naturally curated and nurtured with the utmost care; Gluten free rice governed by the highest food quality and safety standards,
4007,Choco chip cookies mouthful of chocolate; Fruit and nut cookies bicalicious fruity snack; Butter cookies let you savour the real taste of butter; A whole lot of snacks made with the best ingredients,
4008,Tingle and add a spicy twist to meals snacks and even moments; strong taste packed with a punch of soda; available in different flavours; Helps brings out the toofani adventurous side of you,
4009,Tea leaves used for this product are crushed twisted and curled; while processing to ensure infusion of exquisite aroma and taste; Also this process ensures rich color and strong flavor,
4010,This premium imported roast is artfully crafted to achieve a quality coffee experience that will awaken your senses; NESCAFÉ Gold is a sophisticated; aromatic coffee with a rich well-rounded taste that creates delicious moments instantly,
4011,Doubled toned milk; 100 percent natural; 0 percent preservative; extra protein and calcium; made from cow milk,
4012,Freshly baked premium bread tastes best when lightly toasted or tawa toasted; Up to 20% reduced carbs! No transfat! No cholesterol! Low sugar!; Serves 9.6 Gm of protein per serving; giving more energy growth and nutrition everyday,
4013,MAGGI 2-Minute Masala Noodles is an instant noodles brand manufactured by Nestle; Made with the finest quality spices and ingredients; Contains a noodle cake and the Favourite Masala Tastemaker inside for a quick 2 minute preparation,
5001,13MP Main Camera; Large Screen 16.55 centimeters (6.52-inch) HD+ display with 1600 x 720 pixel resolution with additional features like: Eye Comfort-Filters blue light to reduce damage to the eyes, 
5002,8MP primary camera with LED Flash | 5MP front camera; 8.0 inchs (20.32 Cm) Touchscreen | Resolution HD+ (1280 x 800); 3GB RAM | 32GB Internal Memory,
5003,Resolution: HD Ready (1366 x 768p) | Refresh Rate: 60HzConnectivity: 2 HDMI Port | 2 USB Ports to connect pen drives & hard disk drives | 1 VGA Port to connect to your laptop or computer as a monior | 1 Headphone (3.5mm) Port to connect headphones,
5004,Convection technology with easy functionality and modern design; 1600W Power; 60 Minute Timer; Rotisserie Function; Full Black Housing; 25L Big Capacity,
5005,Frost Free; Side-by-Side: Auto defrost to stop ice-build up; Capacity 810 L; includes syncing up food storage with meal preparation; wide range of smart features that allow consumers to do what they could not do before,
5006,Advanced Inverter Technology: Saves more than 50% Electricity; one more step towards building a sustainable future; Unique innovative design; Power consumption: 35 Watts with Super Efficient Noise less motor,
5007,Waterproof Lights: The string lights are IP44 Waterproof, allowing you to use them both indoor and outdoor. They are easy to use, can be directly plugged and unplugged for power on and off,
5008,Desktop Computer Package Includes: Along with CPU you will get Power Cable- Motherboard Drivers CD- Desktop User Manual Book; Core I5 3RD Gen CPU/16GB RAM/1TB HDD,
5009,Processor:10th Generation Core i3-1005G1 Processor (4MB Cache up to 3.4 GHz), Memory & Storage:4GB RAM Single Channel DDR4 2666 MHz | 1TB 5400 RPM 2.5" Hard Disk Drive; Display:15.6-inch FHD Anti-Glare LED-Backlit Non-touch Display,
5010,Split AC with non-inverter compressor:One beautiful Air Conditioner; keeps its promise of cooling. Re-designed with Golden Hydrophilic coat protection; 1.5 Ton: Suitable for 150 to 170 Sq Ft; Energy Rating: 3 star,
5011,16 megapixel Micro Four Thirds sensor with no low pass filter to confidently capture sharp images with a high dynamic range and artifact free performance; 4K VIDEO CAPTURE AND 4K PHOTO MODE at 30 frames per second to capture split second moments,
5012,Pocket Size Portable Bluetooth Speakers; 5 hours Music Playtime Under Optimum Audio Settings; Dual Equalizer Modes for Normal & Deep Bass Output; Wireless Bluetooth Streaming; Speakerphone; Frequency Response 180Hz - 20KHz,
5013,Design : Distinctive design with aluminium finish with Built-In USB Drive; Bass Boost : Bass Boost function for low-end power; Built-In Memory : 4 GB capacity for around 900 songs; Up to 20 hours of battery,
6001,Fit Type: Regular Fit; Fabric: 95% Polyester; 5% Spandex; Style: Regular; Neck Style: Round Neck; Pattern: Solid; Ensure Machine Wash,
6002,Cool T-shirts with latest designs; Comfortable cloth; Fabric: Cotton; Neck Style: Round Neck; Ensure washing the tee in cold water,
6003,Solid casual shirts; with spread collar; button pockets; long sleeves; curved hem; Regular fit; 75% Cotton and 25% Polyester; Machine wash warm,
6004,Fit Type: Slim; 95% Cotton and 5% Spandex; Slim Fit; Drawstring closure; Utility Pocket; Ensure Machine Wash,available in different colours,
6005,Fit Type: Relaxed Fit; fabricated using premium quality cotton material; Deep zipped both side pockets for better customer needs; Elasticated waist band with a drawstring fastening,
6006,Care Instructions: NORMAL WASH; Premium Quality Of Fine Soft Tafetta; Unique Computer Embroidery Design; Beautiful Gown For All Season & Occasions; Rounded neck,
6007,Fit Type: Regular; Fabric: 95% Polyester 5% Spandex; Style: A-Line Skater; Fit Type: Regular; Sleeve less Off shoulder Dress; Pattern: Solid/Plain,
6008,Embellished clutch; Main compartment with buckle closure; lightweight and compact; Made from PU Leather material,
6009,Easy to carry-stylish and spacious solid handheld bags; 2 main compartments with a detachable sling strap; button closure and external pockets.Tablet sleeve: No,
6010,Walking sports shoes; regular styling; lace-up detail; Mesh upperCushioned footbed Textured and patterned outsole; available in different sizes,
6011,Pointed pencil heel sandals; has regular styling; closed back detailSynthetic upper; Cushioned footbed Textured and patterned outsole; available in different sizes,
6012,Watch Material: Durable Stainless Steel Material; Precision Quartz Movement; Precise Timing; Unique and Elegant Design with Water Resistant function,
6013,It is advisable to store jewellery in a zip lock pouch (air tight pouch); keep away from water perfume and other chemicals and clean it with dry and soft cloth; Style: ethnic; material: zinc; plating: 22k yellow gold,
